sku,title,category,gender,price_inr,description,tagline,image_file
15970,Stylish Topwear,Topwear,Men,1660,"A stylish topwear piece from our Apparel range, made for everyday men's wear. Made with quality materials for lasting comfort.","Quality fabric, all-day comfort",images/15970.jpg
39386,Versatile Bottomwear,Bottomwear,Men,1720,This men's bottomwear is a versatile addition to your wardrobe. Finished with clean detailing and a modern cut.,"Clean detailing, modern cut",images/39386.jpg
21379,Stylish Bottomwear,Bottomwear,Men,1170,"A stylish bottomwear piece from our Apparel range, made for everyday men's wear. Designed to layer well with other wardrobe staples.",Layers effortlessly with your staples,images/21379.jpg
53759,Everyday Essential Topwear,Topwear,Men,530,An everyday topwear that pairs easily with the rest of your men's wardrobe. A dependable pick for regular rotation.,A dependable everyday pick,images/53759.jpg
1855,Stylish Topwear,Topwear,Men,410,"A stylish topwear piece from our Apparel range, made for everyday men's wear. Made with quality materials for lasting comfort.","Quality fabric, all-day comfort",images/1855.jpg
30805,Versatile Topwear,Topwear,Men,800,This men's topwear is a versatile addition to your wardrobe. Designed to layer well with other wardrobe staples.,Layers effortlessly with your staples,images/30805.jpg
26960,Stylish Topwear,Topwear,Women,1580,"A stylish topwear piece from our Apparel range, made for everyday women's wear. Designed to layer well with other wardrobe staples.",Layers effortlessly with your staples,images/26960.jpg
12369,Everyday Essential Topwear,Topwear,Men,760,An everyday topwear that pairs easily with the rest of your men's wardrobe. A dependable pick for regular rotation.,A dependable everyday pick,images/12369.jpg
13089,Well-Fitted Topwear,Topwear,Men,800,"A well-fitted topwear designed for comfort, from our men's collection. Designed to layer well with other wardrobe staples.",Layers effortlessly with your staples,images/13089.jpg
7990,Stylish Topwear,Topwear,Men,920,"A stylish topwear piece from our Apparel range, made for everyday men's wear. Finished with clean detailing and a modern cut.","Clean detailing, modern cut",images/7990.jpg
37812,Well-Fitted Topwear,Topwear,Men,1780,"A well-fitted topwear designed for comfort, from our men's collection. Easy to style and easy to care for.","Easy to style, easy to care for",images/37812.jpg
56825,Versatile Topwear,Topwear,Men,920,This men's topwear is a versatile addition to your wardrobe. Finished with clean detailing and a modern cut.,"Clean detailing, modern cut",images/56825.jpg
20099,Stylish Topwear,Topwear,Women,1040,"A stylish topwear piece from our Apparel range, made for everyday women's wear. Made with quality materials for lasting comfort.","Quality fabric, all-day comfort",images/20099.jpg
3954,Stylish Topwear,Topwear,Women,1130,"A stylish topwear piece from our Apparel range, made for everyday women's wear. Easy to style and easy to care for.","Easy to style, easy to care for",images/3954.jpg
